Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1994-10-26,462.6199951171875,463.7699890136719,461.2200012207031,461.54998779296875,322570000
1994-10-27,465.8500061035156,465.8500061035156,462.6199951171875,462.67999267578125,327790000
1994-10-28,473.7699890136719,473.7799987792969,465.79998779296875,465.8399963378906,381450000
1994-10-31,472.3500061035156,474.739990234375,472.3299865722656,473.760009765625,302820000
1994-11-01,468.4200134277344,472.260009765625,467.6400146484375,472.260009765625,314940000
1994-11-02,466.510009765625,470.9200134277344,466.3599853515625,468.4100036621094,331360000
1994-11-03,467.9100036621094,468.6400146484375,466.3999938964844,466.5,285170000
1994-11-04,462.2799987792969,469.2799987792969,462.2799987792969,467.9599914550781,280560000
1994-11-07,463.07000732421875,463.55999755859375,461.25,462.30999755859375,255030000
1994-11-08,465.6499938964844,467.5400085449219,463.07000732421875,463.0799865722656,290860000
1994-11-09,465.3999938964844,469.95001220703125,463.4599914550781,465.6499938964844,337780000
1994-11-10,464.3699951171875,467.7900085449219,463.7300109863281,465.3999938964844,280910000
1994-11-11,462.3500061035156,464.1700134277344,461.45001220703125,464.1700134277344,220800000
1994-11-14,466.0400085449219,466.2900085449219,462.3500061035156,462.44000244140625,260380000
1994-11-15,465.0299987792969,468.510009765625,462.95001220703125,466.0400085449219,336450000
1994-11-16,465.6199951171875,466.25,464.2799987792969,465.05999755859375,296980000
1994-11-17,463.57000732421875,465.8299865722656,461.4700012207031,465.7099914550781,323190000
1994-11-18,461.4700012207031,463.8399963378906,460.25,463.6000061035156,356730000
1994-11-21,458.29998779296875,463.4100036621094,457.54998779296875,461.69000244140625,293030000
1994-11-22,450.0899963378906,458.0299987792969,450.0799865722656,457.95001220703125,387270000
1994-11-23,449.92999267578125,450.6099853515625,444.17999267578125,450.010009765625,430760000
1994-11-25,452.2900085449219,452.8699951171875,449.94000244140625,449.94000244140625,118290000
1994-11-28,454.1600036621094,454.19000244140625,451.0400085449219,452.260009765625,265480000
1994-11-29,455.1700134277344,455.1700134277344,452.1400146484375,454.2300109863281,286620000
1994-11-30,453.69000244140625,457.1300048828125,453.2699890136719,455.1700134277344,298650000
1994-12-01,448.9200134277344,453.9100036621094,447.9700012207031,453.54998779296875,285920000
1994-12-02,453.29998779296875,453.30999755859375,448.0,448.9200134277344,284750000
1994-12-05,453.32000732421875,455.0400085449219,452.05999755859375,453.29998779296875,258490000
1994-12-06,453.1099853515625,453.92999267578125,450.3500061035156,453.2900085449219,298930000
1994-12-07,451.2300109863281,453.1099853515625,450.010009765625,453.1099853515625,283490000
1994-12-08,445.45001220703125,452.05999755859375,444.5899963378906,451.2300109863281,362290000
1994-12-09,446.9599914550781,446.9800109863281,442.8800048828125,445.45001220703125,336440000
1994-12-12,449.4700012207031,449.4800109863281,445.6199951171875,446.95001220703125,285730000
