,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2016-12-06,236290,123820,67429,66365,123834,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.671999931335449,0.24321384739091795,-57469,-2.113097821369673,56391,1.3149900182275844,0.025599503677727013,0.015843220095268472,0.029672409200880656,-0.029565867595594986,-0.07407869720842654
2016-12-13,236822,127666,66551,64364,125034,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.5929999351501465,0.2561839693947353,-60670,-1.354691269203098,61115,1.9992382242160058,0.016900917644325705,0.024323308464243604,-0.029565867595594986,-0.036058581276095736,-0.06529616047448782
2016-12-20,233042,119225,67199,68111,120663,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.499500036239624,0.22550441551308348,-52552,3.4278909898573615,52026,-3.8379035731477646,0.04300380348988738,0.04875445221645282,-0.036058581276095736,0.003400624381001194,-0.056857477652308655
2016-12-27,227733,112505,66742,70391,118773,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.507999897003174,0.21245054515595016,-48382,1.7893770221676781,45763,-2.6874983908480017,0.022044363620984966,0.04003972172477085,0.003400624381001194,-0.01076553090819421,-0.04868121322752229
2017-01-03,223874,109243,64759,70583,117526,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.4809999465942383,0.2096849120487417,-46943,0.631880315984069,44484,-0.5616226019066187,0.007649820051140562,0.03014333168584269,-0.01076553090819421,0.04937522991393095,-0.040490812964711874
2017-01-10,236637,116854,69151,71308,121407,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.6034998893737793,0.21171245409635855,-50099,-1.4097215397947058,47703,1.4378623690111403,0.023900578574579043,0.0645305233730276,0.04937522991393095,0.004993282887067352,-0.03163239700723507
2017-01-17,251782,118944,72445,75868,125140,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.616499900817871,0.19569309958614992,-49272,0.3494804278282771,46499,-0.5087961730414094,0.04125706439544695,0.028131188312807948,0.004993282887067352,0.032103999163143104,-0.023119234085651377
2017-01-24,270892,128015,77705,82224,133948,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.700500011444092,0.19093956263012565,-51724,-0.9738583377683869,50310,1.5136109809279457,0.07014784523435043,0.06966264825977056,0.032103999163143104,0.007776303780141713,-0.015265172094366118
2017-01-31,291702,134989,77713,89428,147207,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.7214999198913574,0.19807543314752726,-57779,-2.2352081272241335,57276,2.5715045110228427,0.08647495087370845,0.03282526727534297,0.007776303780141713,-0.035090940724487596,-0.007458208513079012
2017-02-07,291924,131026,79467,93332,147984,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.625999927520752,0.18721311026157494,-54652,1.0719844224585364,51559,-1.9598768606317405,0.019397802052081088,0.02716004807760828,-0.035090940724487596,0.03998477607446804,-0.0007362719900459687
2017-02-14,296125,131446,86203,92457,140974,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.7309999465942383,0.16383959476572393,-48517,2.1015743823734945,45243,-2.163576821364465,0.033778718336467735,0.03287862567712234,0.03998477607446804,0.005309462258276998,0.005338480765833465
2017-02-21,283805,128204,85410,93995,141913,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.745500087738037,0.16884128186607,-47918,0.2022794428028704,42794,-0.8270156184043901,0.010499855876019466,0.018889211381276506,0.005309462258276998,-0.015115676644150255,0.011464375743468948
2017-02-28,267935,120913,82915,90031,132757,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.7039999961853027,0.15946404911639017,-42726,1.8294251334543086,37998,-1.6898927080213528,0.05889006589223836,0.04801106815550366,-0.015115676644150255,-0.034948248884308586,0.017687405373722057
2017-03-07,267379,117779,88060,87052,123421,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.609499931335449,0.13602040549182995,-36369,2.3725903670666395,29719,-3.089928527441357,0.058511067927952756,0.04022075505613611,-0.034948248884308586,0.005556674276813611,0.020727008672591533
2017-03-14,260056,110578,88139,92375,118993,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.624000072479248,0.10235487741101916,-26618,3.646883263083488,22439,-2.722726915726366,0.0461328110215359,0.036635013612323054,0.005556674276813611,-0.005335433306674742,0.022817041722732016
2017-03-21,269323,111829,90159,96185,122042,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.609999895095825,0.0960073963233738,-25857,0.2926292798474175,21670,-0.29570554034515645,0.03143057458517965,0.01619403132859378,-0.005335433306674742,0.02260537073953528,0.024551413664753993
2017-03-28,273316,112041,82176,100198,129841,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.6689999103546143,0.10845687775322338,-29643,-1.405747002669657,29865,3.042814761457432,0.05134781493572829,0.0421950704624209,0.02260537073953528,-0.023604333411912926,0.026993886955566496
2017-04-04,277949,111665,84797,97060,126943,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.6059999465942383,0.10751252927695369,-29883,-0.08781044651612054,26868,-1.0965329508700552,0.026946067686593484,0.015254858445908114,-0.023604333411912926,0.0,0.03009521928768481
2017-04-11,284852,114238,88393,97209,127474,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.6059999465942383,0.1062481569376378,-30265,-0.13743528489039356,25845,-0.36805313204940476,0.0030264862050088347,0.030444502568708637,0.0,-0.029547162050348574,0.034456148945237915
2017-04-18,275401,106292,90249,103458,121850,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.5290000438690186,0.06678261879949601,-18392,4.1681294145731815,16043,-3.441085195118869,0.0526967528893781,0.049872545677492226,-0.029547162050348574,0.02095688903826054,0.038161767103631936
