,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2016-01-12,69088,46953,24389,11695,37384,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,837.5,0.37183012968967116,-25689,3.6531004793454036,22564,-1.9738649894666136,0.048758124656166586,0.04170054105575958,-0.05750616361680916,-0.010507448111007456,0.37544725680944907
2016-01-19,70000,48064,27781,11468,34486,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,828.7000122070312,0.3288285714285714,-23018,3.8660838351088467,20283,-3.30158638258453,0.06800278539408974,0.05937108576702485,-0.010507448111007456,0.05611198179683763,0.37112313075888625
2016-01-26,67395,47787,26287,10214,34206,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,875.2000122070312,0.35599080050448845,-23992,-1.3914285714285715,21500,1.7385714285714287,0.034533993696533094,0.02390852390852391,0.05611198179683763,-0.023765982064507196,0.3666815203321287
2016-02-02,66265,46451,24797,10181,34463,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,854.4000244140625,0.36643778767071605,-24282,-0.43029898360412494,21654,0.2285035981897767,0.00649583370665711,0.03966427127779026,-0.023765982064507196,0.0974953012789237,0.3632490836335408
2016-02-09,65426,47497,18995,8616,40384,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,937.7000122070312,0.48555620089872525,-31768,-11.297064815513469,28502,10.334263940239946,0.15277551020408164,0.10298983336341214,0.0974953012789237,-0.0010664391457629874,0.3630607271533631
2016-02-16,64876,47719,15625,7895,43483,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,936.7000122070312,0.5485541648683643,-35588,-5.838657414483539,32094,5.4901721028337365,0.07435088948577212,0.056706238949229604,-0.0010664391457629874,0.006405465914175679,0.365055327052846
2016-02-23,64316,46701,13194,7631,44857,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,942.7000122070312,0.5787984327383544,-37226,-2.5248165731549417,33507,2.1780011098094825,0.031207133058984912,0.057584105517989814,0.006405465914175679,-0.007001205617513162,0.36873995598701026
2016-03-01,66211,47357,15838,8819,43855,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,936.0999755859376,0.5291567866366615,-35036,3.4050625038870574,31519,-3.090988245537658,0.04157648934958424,0.05221932114882506,-0.007001205617513162,0.05640428394955932,0.37150316990209975
2016-03-08,64142,45193,11669,9253,46868,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,988.9000244140624,0.586433226279193,-37615,-3.8951231668453885,33524,3.0281977314947666,0.061420858502164964,0.11137490767120396,0.05640428394955932,-0.02993228424544947,0.37603536096439316
2016-03-15,63234,44496,12631,9458,45386,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,959.2999877929688,0.5681753487048107,-35928,2.6301019612734247,31865,-2.5864488166879736,0.03075997374370943,0.029040558755054527,-0.02993228424544947,0.03856979096301738,0.38091220837155587
2016-03-22,62649,44295,11931,8752,45774,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,996.2999877929688,0.590943191431627,-37022,-1.7300819179555302,32364,0.7891324287566815,0.020063822763452296,0.016024614946821756,0.03856979096301738,-0.03171733009446143,0.38588847600419746
2016-03-29,58313,41766,11760,8238,42286,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,964.7000122070312,0.5838835251144685,-34048,4.747082954237099,30006,-3.7638270363453525,0.07920988045285408,0.05044277547360161,-0.03171733009446143,-0.015237910252950737,0.3897753027644522
2016-04-05,55898,40313,11690,7934,40258,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,950.0,0.5782675587677556,-32324,2.9564591086035703,28623,-2.3716838440827943,0.04838977423638778,0.029286771917004788,-0.015237910252950737,0.05105263157894746,0.39234228183809794
2016-04-12,56899,41109,12267,7826,40819,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,998.5,0.5798520184889013,-32993,-1.1968227843572221,28842,0.3917850370317364,0.013752698119025594,0.025723171462829736,0.05105263157894746,0.01552328492739119,0.3947838843410369
2016-04-19,60387,44464,12525,7272,44050,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1014.0,0.6090383691854208,-36778,-6.65213799891035,31939,5.442977908223344,0.0737500487120533,0.06339819965256453,0.01552328492739119,0.004832371217023956,0.39830961313622776
2016-04-26,62482,46552,11699,7231,47509,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1018.9000244140624,0.6446336544924939,-40278,-5.795949459320715,34853,4.825541921274446,0.0639386189258312,0.05002489227652744,0.004832371217023956,0.05025022077246355,0.4032492249800538
2016-05-03,64158,48276,11398,7278,49909,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1070.0999755859375,0.6644689672371333,-42631,-3.7658845747575302,36878,3.2409333888159786,0.04278944515361883,0.033934376780507425,0.05025022077246355,-0.020185007082268558,0.4084924975873268
2016-05-10,65493,50094,11717,7168,50645,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1048.5,0.663841937306277,-43477,-1.3186196577200038,38377,2.336419464447146,0.014633386954491205,0.034573134231771045,-0.020185007082268558,0.0049594193341677695,0.4139690875974595
2016-05-17,66689,51796,12392,6425,51028,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1053.699951171875,0.6688209449834306,-44603,-1.7192677079993284,39404,1.568106515200098,0.01959862844411954,0.03703184395837228,0.0049594193341677695,-0.04745178066036371,0.41818517730310883
2016-05-24,64186,48455,11959,7600,48559,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1003.7000122070312,0.638129810238993,-40959,5.464169503216422,36496,-4.360539219361514,0.06488719528481633,0.06246896414738306,-0.04745178066036371,-0.024907840685413185,0.4220849983825929
2016-05-31,61795,45266,13006,8095,44106,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,978.7000122070312,0.5827494133829598,-36011,7.708846165830555,32260,-6.599569999688406,0.0947874561790004,0.07269357495881384,-0.024907840685413185,0.020128754430692508,0.4266248003133982
2016-06-07,63185,45688,14587,8975,44544,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,998.4000244140624,0.5629342407216903,-35569,0.7152682255845942,31101,-1.8755562747795127,0.02462676806367832,0.033231024471173785,0.020128754430692508,-0.026943132768700973,0.43132902214308505
2016-06-14,66103,46573,16197,10396,45061,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,971.5,0.5244088770555043,-34665,1.430719316293424,30376,-1.1474242304344386,0.03494599419369962,0.03974828739843875,-0.026943132768700973,0.009881601220728342,0.43546187140680104
2016-06-21,64950,45372,16073,9500,43857,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,981.0999755859376,0.5289761354888376,-34357,0.4659395186300168,29299,-1.6292755245601562,0.039357535093802125,0.021564000325494343,0.009881601220728342,-0.0026500618190158365,0.440608990413364
2016-06-28,62873,44366,14549,8916,43453,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,978.5,0.5493136958630891,-34537,-0.27713625866050806,29817,0.7975365665896844,0.018866123088086464,0.04294322328778749,-0.0026500618190158365,0.09596323394385542,0.4452556698454995
2016-07-05,63840,47208,10839,8211,49998,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1072.4000244140625,0.6545582706766917,-41787,-11.531181906382708,36369,10.421007427671656,0.12455118624267725,0.11287405033851879,0.09596323394385542,0.020514732841432348,0.4521205784410106
2016-07-12,70300,54237,11834,7573,54909,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1094.4000244140625,0.6733428165007113,-47336,-8.69204260651629,42403,9.451754385964913,0.08880957715822156,0.12144511207640266,0.020514732841432348,0.000274055876390511,0.4596939914235011
2016-07-19,74782,59008,11615,7690,60041,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1094.699951171875,0.7000481399267203,-52351,-7.133712660028449,47393,7.0981507823613095,0.07749774844605867,0.07065686815909832,0.000274055876390511,0.0015530038531266221,0.4679466295184592
2016-07-26,77014,61346,10424,7372,63374,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1096.4000244140625,0.727166489209754,-56002,-4.88219090155385,50922,4.719050038779385,0.05160715800186583,0.04917096279782639,0.0015530038531266221,0.06603431485032529,0.47691881575486594
2016-08-02,79541,63929,10158,6717,66091,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1168.800048828125,0.7464578016368917,-59374,-4.378424702002234,53771,3.699327395019088,0.0463135919129766,0.03845478963920796,0.06603431485032529,-0.010523655299687462,0.48634209607665657
2016-08-09,80645,65259,9310,7099,67416,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1156.5,0.7479322958645918,-60317,-1.1855521052036058,55949,2.738210482644171,0.022908139300811918,0.029207847765157103,-0.010523655299687462,-0.030004281168936497,0.4953535976844172
