,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2016-04-05,473147,191807,64129,148889,295043,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.9900016784668,0.30889765759901255,-146154,-0.4565533255631685,127678,0.07994736050196163,0.004579530198318661,0.10100962740685171,-0.0017620428763019946,-0.008826214679120481,0.15772050884335795,0.02392943173798199
2016-04-12,461802,183194,66999,137499,271367,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.689998626708984,0.2898818108193555,-133868,2.5966560075409966,116195,-2.4269413099945685,0.08576404005224206,0.045896567849620096,-0.008826214679120481,0.03235382003618592,0.16103906315401104,0.009274282880948786
2016-04-19,479432,177027,63016,145217,284349,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,34.779998779296875,0.29020173872415694,-139132,-1.1398824604484172,114011,-0.47292995699455614,0.04818817131709679,0.0422840907670709,0.03235382003618592,-0.0241518166207616,0.1637503321309139,0.006305633679805419
2016-04-26,434911,165454,38797,132277,282141,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.939998626708984,0.3445854439184109,-149864,-2.2384822039413304,126657,2.6377046171302707,0.03655246635039984,0.17523537216464055,-0.0241518166207616,-0.0533293350568782,0.16801909036081486,-0.0005967415498268641
2016-05-03,408065,144247,49516,138087,247287,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.130001068115234,0.26760442576550303,-109200,9.349958957119963,94731,-7.340812258140171,0.10551827575290497,0.16476829941732943,-0.0533293350568782,0.031123559500667586,0.16928812129679915,-0.013580181242225944
2016-05-10,400540,139057,39464,131639,249466,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.130001068115234,0.29417037000049934,-117827,-2.114123975347065,99593,1.1914768480511684,0.02263680612954435,0.08537931111745957,0.031123559500667586,-0.010564511848301983,0.17086697154202019,-0.00350708567714792
2016-05-17,400791,133631,34611,142159,257473,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.779998779296875,0.2877160415278786,-115314,0.6274030059419783,99020,-0.14305687322115143,0.046360151339232096,0.061096515733288954,-0.010564511848301983,-0.0576570915201533,0.17255831431346424,-0.014332750909843435
2016-05-24,401761,121130,51525,167937,247158,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.88999938964844,0.19718439569793983,-79221,9.005441738961204,69605,-7.3392366595058265,0.08695117985039569,0.17036865425270048,-0.0576570915201533,0.030106841163856757,0.1730680659477567,-0.022866297169546294
2016-05-31,407405,121752,60523,171182,243355,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.81999969482422,0.17715295590383034,-72173,1.7542767964038322,61229,-2.0848215730247586,0.01700210113934341,0.05277739679056371,0.030106841163856757,0.014770623042450026,0.17157341258145117,-0.0017493298616518677
2016-06-07,405541,119494,58853,171838,240010,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.290000915527344,0.16810137569320982,-68172,0.9820694395012335,60641,-0.14432812557528749,0.009714749130747265,0.022024480366925153,0.014770623042450026,0.0071229339026042116,0.16939677352848012,-0.005853130990035504
