,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZM_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2016-05-10,365161,110200,34650,158695,257945,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,360.3999938964844,0.2717979192739641,-99250,-5.675365972441058,75550,4.765806285272295,0.04754944316436252,0.1148498446668968,0.06156110131512338,0.024139878896696443,0.107375161180258,0.058616190747658115
2016-05-17,376067,114036,30382,161174,270458,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,369.1000061035156,0.29059715423049615,-109284,-2.747829039793406,83654,2.219295050676277,0.03473329132223746,0.0561148887257821,0.024139878896696443,0.053643964956792134,0.11164520236041736,0.04770905382862053
2016-05-24,374204,113838,28826,164941,273097,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,388.8999938964844,0.28902951331359367,-108156,0.2999465520771565,85012,0.3611058667737398,0.014624302001196243,0.012294622329389335,0.053643964956792134,0.019799466001228172,0.11606808484282526,0.04627587346453075
2016-05-31,379701,119118,32279,165921,278085,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,396.6000061035156,0.2954008548831844,-112164,-1.0710735320841038,86839,0.48823636305330775,0.013441259802795457,0.05768278103264926,0.019799466001228172,0.02823999373951036,0.12049475456958594,0.03901502160836042
2016-06-07,381841,118084,30243,163843,277489,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,407.7999877929687,0.2976264989877986,-113646,-0.39030711006818525,87841,0.2638918517465058,0.00605893069163351,0.020697512927518254,0.02823999373951036,0.0019617909134246325,0.12421384282473216,0.030971227501684725
2016-06-14,395471,118666,30773,170233,282920,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,408.6000061035156,0.28494377590265785,-112687,0.25115165736523837,87893,0.013618233767458184,0.026086112196101536,0.007441163284015551,0.0019617909134246325,-0.03744497817425585,0.12690690631353405,0.025581294573819777
2016-06-21,399547,116369,29939,174633,285969,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,393.2999877929687,0.2786555774414524,-111336,0.3416179694592018,86430,-0.36993863013975736,0.016172313624343793,0.021400060147086966,-0.03744497817425585,-0.0022883140717463446,0.12874281126828466,0.0031341515319619835
2016-06-28,381041,114999,21962,169177,281127,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,392.3999938964844,0.2938004046808611,-111950,-0.15367403584559514,93037,1.6536227277391644,0.022868995167708926,0.06824570498171012,-0.0022883140717463446,-0.01783894013476106,0.12996686773313987,-0.0023857204675714686
2016-07-05,377467,113799,21934,169881,278648,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,385.3999938964844,0.28814969255590556,-108767,0.8353431782931495,91865,-0.3075784495631704,0.007096531105012162,0.009047173495023318,-0.01783894013476106,-0.01842243439532254,0.13062226832992657,-0.014000156809749338
2016-07-12,377461,112845,19388,171737,282815,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,378.2999877929687,0.29427675971822254,-111078,-0.6122389506897291,93457,0.42175872327912106,0.013250409194107604,0.026468430724554386,-0.01842243439532254,-0.049167264568130586,0.13081878945042003,-0.019181460288259657
2016-07-19,375040,110336,20246,173920,280054,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,359.70001220703125,0.2829938139931741,-106134,1.309804191691327,90090,-0.8920126847541865,0.01089049152594642,0.0257845644882143,-0.049167264568130586,-0.050875778953307305,0.13036752828636192,-0.022173258080545412
2016-07-26,364289,107505,20639,172840,278214,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,341.3999938964844,0.28925935177839573,-105374,0.20264505119453924,86866,-0.8596416382252561,0.00647372598402852,0.02515919590460732,-0.050875778953307305,-0.03807850097367527,0.13029199102635824,-0.03467023101280129
2016-08-02,359746,105748,22798,176357,272960,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,328.3999938964844,0.26853113029748765,-96603,2.4077037736522375,82950,-1.074970696342739,0.019520739255358688,0.030463802841006332,-0.03807850097367527,0.03288677987597999,0.12951424795148964,-0.03992239378507973
2016-08-09,357482,102357,21379,176697,273850,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,339.20001220703125,0.2717703268975781,-97153,-0.1528856470954507,80978,-0.5481645383131432,0.002730014848617347,0.03887308463179673,0.03288677987597999,-0.007370282753628277,0.12896821292490918,-0.02666095694337675
2016-08-16,359279,103306,24047,174931,270987,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,336.70001220703125,0.267357680242931,-96056,0.3068685975797383,79259,-0.4808633721418141,0.01038083235034244,0.028401372562876413,-0.007370282753628277,-0.01277106669037742,0.12921402763075396,-0.015986552395911343
2016-08-23,365211,108663,26280,172740,271452,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,332.3999938964844,0.2702875871756327,-98712,-0.739258347969127,82383,0.8695192315721209,0.005979396297096751,0.0562459705208866,-0.01277106669037742,-0.055956698089796086,0.12942164099553982,-0.006353407855530688
2016-08-30,350038,106793,29023,168727,255157,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,313.79998779296875,0.24691604911466755,-86430,3.3629874237084865,77770,-1.2631054376784927,0.047909333685630974,0.033965070389350295,-0.055956698089796086,0.01051631115015872,0.12962306468432325,-0.010861591008214187
2016-09-06,359617,100867,36204,178132,253693,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,317.1000061035156,0.21011520589960986,-75561,3.1050914472143023,64663,-3.7444506025060136,0.025169918369709953,0.09562197693166315,0.01051631115015872,-0.021129019483033584,0.12915341815803266,-0.016531326617436087
2016-09-13,366036,99246,35025,182291,257964,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,310.3999938964844,0.2067364958637948,-75673,-0.031144245127455044,64221,-0.12290853880656365,0.01914799377633417,0.02085334882439246,-0.021129019483033584,0.008698493106065186,0.12813439738492954,-0.020034474814565995
2016-09-20,362924,97111,35626,177164,254435,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,313.1000061035156,0.21291234528441216,-77271,-0.4365690806368772,61485,-0.7474674622168311,0.020055653511708786,0.020612188010878656,0.008698493106065186,-0.04407543290173033,0.1279410264703728,-0.014573406430490479
2016-09-27,371239,91319,49471,184976,236088,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,299.29998779296875,0.13767950026802142,-51112,7.207845168685455,41848,-5.410774707652291,0.06212594759941482,0.13947723559911926,-0.04407543290173033,0.01737391386273024,0.12629815424305474,-0.011564018299156587
2016-10-04,364721,91321,47270,176091,232658,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,304.5,0.15509663551043126,-56567,-1.4694038072508546,44051,0.5934182561638189,0.030128514075875416,0.015895693082523397,0.01737391386273024,-0.022660078477781176,0.12492189483638921,-0.009831179419514082
2016-10-11,371311,83835,51318,180443,225392,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,297.6000061035156,0.12105485697972858,-44949,3.1854486031788682,32517,-3.1624172997990243,0.028627397834095136,0.08534031800995909,-0.022660078477781176,0.019489205893871153,0.1224359310289038,-0.010217800483686573
2016-10-18,380612,85792,53756,185355,229352,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,303.3999938964844,0.11559540949838681,-43997,0.2563888492395862,32036,-0.12954100471033717,0.021393417521286113,0.03149453951328575,0.019489205893871153,0.015820759416971475,0.12015791979751453,-0.00749612376933944
2016-10-25,382137,88185,54746,185125,235628,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,308.20001220703125,0.13215940879841523,-50503,-1.7093523062856664,33439,0.3686168591636627,0.015462753682089016,0.02366876324940006,0.015820759416971475,0.004218000459050852,0.11916922841898027,0.007477920701110328
2016-11-01,366377,89689,47598,185477,243492,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,309.5,0.15834782205214848,-58015,-1.9657871391673667,42091,2.264109468593724,0.0191528991605454,0.06302126202772294,0.004218000459050852,0.020032349618840817,0.1193396052719746,0.004208105315152632
2016-11-08,369732,91794,53179,180941,238128,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,315.70001220703125,0.15467149178323758,-57187,0.22599671922637066,38615,-0.9487495121145705,0.023623794649568448,0.05301676863967773,0.020032349618840817,-0.017738377849169096,0.12010526307185257,0.014780309926957136
