,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-11-24,1632471,472273,260248,565152,778625,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",42.869998931884766,0.13076679463218643,-213473,1.404113110849041,212025,-0.9940889893067777,0.024770479030374833,0.037025559676787424,0.05409394792201705,-0.023792873412111115,0.1620533430748568,0.0014445353204014541
2015-12-01,1661176,475582,267104,572148,785020,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",41.849998474121094,0.12814536208083913,-212872,0.03681535537231596,208478,-0.2172779792106567,0.009866869834832533,0.01368680707593788,-0.023792873412111115,-0.10370371113087684,0.1613469268041481,-0.032215095781279054
2015-12-08,1713573,480088,282214,576108,780931,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",37.5099983215332,0.11952977783846967,-204823,0.4845362562425655,197874,-0.6383429570376649,0.005931296005494315,0.02573258367418687,-0.10370371113087684,-0.0042655253151600014,0.1604935156007669,-0.039124228416559166
2015-12-15,1678527,472228,261717,568272,776411,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",37.349998474121094,0.12400098419626256,-208139,-0.19351378669014976,210511,0.7374649343798018,0.009188782783749032,0.03863641008522437,-0.0042655253151600014,-0.0323962284847491,0.15976366497267683,-0.01960802752565669
2015-12-22,1646306,453681,260769,558814,755495,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",36.13999938964844,0.11946806972701308,-196681,0.6826223230248902,192912,-1.0484788150562963,0.02311024272069962,0.0272867240534677,-0.0323962284847491,0.047869384932304415,0.15897355526197754,-0.04190548189089079
2015-12-29,1648904,448632,252281,570892,763508,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",37.869998931884766,0.11681456288540752,-192616,0.24691642987391166,196351,0.20889190709382097,0.015056205035971224,0.019313381261297766,0.047869384932304415,-0.050171580796690485,0.15816280540858196,-0.023395574607534213
2016-01-05,1703201,460417,276240,576069,764634,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",35.970001220703125,0.11071212381862153,-188565,0.24567834149228823,184177,-0.7383085977109644,0.0047012649333968825,0.04852190368108903,-0.050171580796690485,-0.15373924100571412,0.15671586607299448,-0.009788741199713883
2016-01-12,1756232,499795,336291,590227,768467,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",30.440000534057617,0.10149000815382023,-178240,0.6062114806179658,163504,-1.2137733596915457,0.013241392101532795,0.11892197692581864,-0.15373924100571412,-0.06504603859548719,0.15531440194780644,-0.048255194446902794
2016-01-19,1686382,482774,303402,572363,763410,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",28.459999084472656,0.11328809249624344,-191047,-0.7292316732641245,179372,0.9035252745650917,0.017159352674443937,0.06348451237381961,-0.06504603859548719,0.10505979531454357,0.15403308774439065,-0.05685808480176725
2016-01-26,1761883,523710,318000,596459,805509,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",31.450000762939453,0.11865146550593882,-209050,-1.0675517172265832,205710,1.5618050951682358,0.04721577097337457,0.06597759323282365,0.10505979531454357,-0.049920558476517884,0.15301025663484003,-0.041837370538844024
