,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-12-08,4367,1259,1837,967,677,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,267.3999938964844,-0.06640714449278681,290,-6.797726196115585,-578,1.5158692562766463,0.1745742092457421,0.05813953488372093,0.10633015007338043,-0.043006732470053266,-0.207546121443263
2015-12-15,4087,1234,1635,896,744,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,255.8999938964844,-0.03719109371176903,152,-3.160064117242958,-401,4.05312571559423,0.08414634146341464,0.07912164517253398,-0.043006732470053266,0.04962881012091214,-0.20413902088863314
2015-12-22,4045,1366,1601,779,876,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,268.6000061035156,0.023980222496909766,-97,-6.092488377783215,-235,4.061658918522144,0.15045317220543808,0.05594876980114594,0.04962881012091214,-0.0450484208062617,-0.19966609454774015
2015-12-29,3845,1276,1650,877,817,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,256.5,-0.015604681404421327,60,3.881334981458591,-374,-3.4363411619283064,0.09268004722550177,0.04750512645249488,-0.0450484208062617,0.0,-0.19612645198729173
2016-01-05,3825,1142,1540,937,856,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,256.5,-0.021176470588235293,81,0.5461638491547465,-398,-0.6241872561768531,0.05521472392638037,0.09097688292319164,0.0,-0.001169543052509714,-0.19103170060948216
2016-01-12,4299,1055,2000,1331,585,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,256.20001220703125,-0.17352872761107235,746,17.38562091503268,-945,-14.300653594771243,0.34707724425887265,0.17905073649754502,-0.001169543052509714,-0.030445034890333122,-0.18835839516380615
2016-01-19,4541,1072,2198,1432,532,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,248.3999938964844,-0.19819423034573883,900,3.5822284252151664,-1126,-4.210281460804839,0.07841140529531568,0.06574923547400612,-0.030445034890333122,-0.04911432064417165,-0.18669871162551
2016-01-26,5313,1146,2715,1887,521,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,236.1999969482422,-0.25710521362695277,1366,10.262056815679365,-1569,-9.755560449240255,0.19352159468438537,0.15306915306915306,-0.04911432064417165,0.05292125385902979,-0.18583345788556296
2016-02-02,5890,1211,3088,2207,558,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,248.6999969482422,-0.2799660441426146,1649,5.326557500470544,-1877,-5.797101449275362,0.1291139240506329,0.10188415910676901,0.05292125385902979,0.00804181754942368,-0.1862803498084016
2016-02-09,5552,1101,2706,1990,600,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,250.6999969482422,-0.2503602305475504,1390,-4.397283531409168,-1605,4.6179966044142615,0.1,0.12923561859732072,0.00804181754942368,-0.005584339503495905,-0.186255635518997
2016-02-16,5460,1121,2693,2023,565,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,249.3000030517578,-0.26703296703296703,1458,1.2247838616714697,-1572,0.5943804034582133,0.02627511591962906,0.00865233350812795,-0.005584339503495905,0.04973930607092303,-0.1857233686186106
2016-02-23,4652,1361,2069,1364,589,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,261.70001220703125,-0.16659501289767842,775,-12.50915750915751,-708,15.824175824175823,0.3497183819764465,0.2518950437317784,0.04973930607092303,-0.03515480236108326,-0.18235598729551133
2016-03-01,4336,1322,1820,1112,546,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,252.5,-0.1305350553505535,566,-4.4926913155631985,-498,4.514187446259673,0.1779252110977081,0.0916613621896881,-0.03515480236108326,0.1112871528852104,-0.17771096362083025
2016-03-08,4253,1757,1564,717,1110,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,280.6000061035156,0.09240536092170233,-393,-22.117158671586715,193,15.936346863468634,0.524904214559387,0.20806985847636253,0.1112871528852104,-0.01995725581506136,-0.16896356154684433
2016-03-15,4375,2004,1496,529,1382,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,275.0,0.19497142857142857,-853,-10.815894662591113,508,7.406536562426523,0.24071166928309787,0.09,-0.01995725581506136,0.13090909090909086,-0.15916833667544614
2016-03-22,4547,2081,1301,515,1678,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,311.0,0.2557730371673631,-1163,-7.085714285714285,780,6.217142857142857,0.14135886912904697,0.08042578356002365,0.13090909090909086,0.006109305133390253,-0.1484547986408608
2016-03-29,4892,2277,1236,584,2171,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,312.8999938964844,0.32440719542109564,-1587,-9.324829557950297,1041,5.740048383549593,0.20399274047186933,0.07429547395388557,0.006109305133390253,-0.07734094650528855,-0.13717273473022878
2016-04-05,4914,2414,1285,545,2027,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,288.70001220703125,0.30158730158730157,-1482,2.1463614063777596,1129,1.7988552739165986,0.07115085536547434,0.050283860502838604,-0.07734094650528855,0.027710424876127293,-0.12630422057898996
2016-04-12,5146,2677,1272,489,2227,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,296.70001220703125,0.33773804897007387,-1738,-5.2096052096052095,1405,5.616605616605617,0.09425625920471281,0.06989111167384147,0.027710424876127293,-0.0471857075294998,-0.11442419042503241
2016-04-19,4201,2072,1120,505,1875,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,282.70001220703125,0.32611283027850513,-1370,7.151185386708122,952,-8.802953750485814,0.1546218487394958,0.23715538847117795,-0.0471857075294998,0.012380614958859004,-0.10332400499788205
2016-04-26,3952,1918,1060,506,1956,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,286.20001220703125,0.36690283400809715,-1450,-1.904308497976672,858,-2.2375624851225897,0.03330625507717303,0.07186030893216924,0.012380614958859004,0.009084470562694236,-0.09151524969236849
2016-05-03,4299,2286,1016,371,2235,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,288.79998779296875,0.43358920679227725,-1864,-10.475708502024291,1270,10.425101214574898,0.15886415963161934,0.12477286493034524,0.009084470562694236,0.0664820395380179,-0.07828281266539348
2016-05-10,4823,2685,982,415,2689,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,308.0,0.47149077337756584,-2274,-9.537101651546871,1703,10.07210979297511,0.16043814432989692,0.11808017452958822,0.0664820395380179,0.051298661665482914,-0.06381936769622855
2016-05-17,5496,3126,1161,540,3020,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,323.79998779296875,0.4512372634643377,-2480,-4.271200497615592,1965,5.432303545511092,0.12808988764044943,0.14462327968276184,0.051298661665482914,-0.07041380065630698,-0.04981051338336067
2016-05-24,5317,2859,1058,602,2866,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,301.0,0.4258040248260297,-2264,3.9301310043668125,1801,-2.9839883551673942,0.06228373702422145,0.09446004595353587,-0.07041380065630698,0.007973401649449707,-0.0375121348006898
